Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Street number,Street,Postal code,City,Country,Region,Department,Department number,Plus_Code,Plus_Code_Compound,Plus_Code_Global
"S6. Sankar Nagar Police station,chennai tamil nadu","Ok, partial match","No 16, 22nd St, Shankar Nagar, Pammal, Chennai, Tamil Nadu 600075, India",12.9682247,80.1249287,"establishment, point_of_interest, police",ROOFTOP,No 16,22nd Street,600075,Chennai,India,Tamil Nadu,,,X49F+7X,"X49F+7X Pammal, Chennai, Tamil Nadu, India",7M42X49F+7X
"S11. Tambaram Police station,chennai tamil nadu","Ok, partial match","Tambaram, Chennai, Tamil Nadu, India",12.9249308,80.1000026,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Chennai,India,Tamil Nadu,,,,,
"S13. Chrompet Police station,chennai tamil nadu","2 found, use single geocode.","X43R+7GC, Chennai - Theni Hwy, Shastri Colony, Chromepet, Chennai, Tamil Nadu 600044, India",12.9531884,80.1412521,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Chennai - Theni Highway,600044,Chennai,India,Tamil Nadu,,,,,
"S15. Selaiyur Police station,chennai tamil nadu","Ok, partial match","W4FP+432, Velachery Rd, Aarthi Nagar, Selaiyur, Chennai, Tamil Nadu 600059, India",12.9227672,80.1351312,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Velachery Road,600059,Chennai,India,Tamil Nadu,,,,,
"S12. Chitlapakkam Police station,chennai tamil nadu","Ok, partial match","W4QQ+V6H, Jothi Nagar, Chitlapakkam, Chennai, Tamil Nadu 600064, India",12.9396935,80.1380949,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600064,Chennai,India,Tamil Nadu,,,,,
"S14. Peerkankaranai Police station,chennai tamil nadu","Ok, partial match","24, Kamaraj Nagar, New Perungalathur, Chennai, Tamil Nadu 600063, India",12.9055078,80.0976706,"establishment, point_of_interest, police",ROOFTOP,,,600063,Chennai,India,Tamil Nadu,,,W34X+63,"W34X+63 Chennai, Tamil Nadu, India",7M42W34X+63
"S7. Madipakkam Police station,chennai tamil nadu","Ok, partial match","13, Big St, Arulmurugan Nagar Extention, Ranga Nagar, Keelkattalai, Chennai, Tamil Nadu 600117, India",12.9560048,80.1853197,"establishment, point_of_interest, police",ROOFTOP,13,Big Street,600117,Chennai,India,Tamil Nadu,,,X54P+C4,"X54P+C4 Chennai, Tamil Nadu, India",7M42X54P+C4
"S8. Adambakkam Police station,chennai tamil nadu","Ok, partial match","20th Street, 2nd Cross St, Dr.Ambedkar Nagar, Velachery, Chennai, Tamil Nadu 600042, India",12.9895187,80.2088253,"establishment, point_of_interest",ROOFTOP,20th Street,2nd Cross Street,600042,Chennai,India,Tamil Nadu,,,X6Q5+RG,"X6Q5+RG Chennai, Tamil Nadu, India",7M42X6Q5+RG
"S10. Pallikaranai Police station,chennai tamil nadu","Ok, partial match","Range, W58V+RXG, Velachery - Tambaram Main Rd, Ambedkar Nagar, Jalladianpet, Madipakkam, Chennai, Tamil Nadu 600100, India",12.9170704,80.1949418,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Velachery - Tambaram Main Road,600100,Chennai,India,Tamil Nadu,,,,,
"J2. Adyar Police station,chennai tamil nadu","Ok, partial match","X7X4+47F, Dr Muthu Lakshmi Rd, Indira Nagar, Adyar, Chennai, Tamil Nadu 600020, India",12.9978136,80.2556662,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Doctor Muthu Lakshmi Road,600020,Chennai,India,Tamil Nadu,,,,,
"J5. Sastri Nagar Police station,chennai tamil nadu","Ok, partial match","Near Besant Nagar Bus Terminus, 1st Avenue Service Road, Custom Colony, Besant Nagar, Custom Colony, Besant Nagar, Chennai, Tamil Nadu 600090, India",13.0006098,80.2659112,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600090,Chennai,India,Tamil Nadu,,,2728+69,"2728+69 Chennai, Tamil Nadu, India",7M522728+69
"J1. Saidapet Police station,chennai tamil nadu","Ok, partial match","49/1, Anna Salai, West Saidapet, Saidapet, Chennai, Tamil Nadu 600015, India",13.0223505,80.2261188,"establishment, point_of_interest, police",ROOFTOP,49/1,Anna Salai,600015,Chennai,India,Tamil Nadu,,,26CG+WC,"26CG+WC Chennai, Tamil Nadu, India",7M5226CG+WC
"R6. Kumaran Nagar Police station,chennai tamil nadu","Ok, partial match","26H8+7JV, 3rd St, Ragavan Colony, Mettuppalayam, Ashok Nagar, Chennai, Tamil Nadu 600083, India",13.0282473,80.2165603,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,3rd Street,600083,Chennai,India,Tamil Nadu,,,,,
"J3. Guindy Police station,chennai tamil nadu","Ok, partial match","2656+Q73, Alandur Rd, Guindy Industrial Estate, SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu 600032, India",13.0093762,80.2106595,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Alandur Road,600032,Chennai,India,Tamil Nadu,,,,,
"J7. Velachery Police station,chennai tamil nadu","Ok, partial match","1, Velachery Rd, Velachery, Chennai, Tamil Nadu 600042, India",12.9809605,80.2208596,"establishment, point_of_interest, police",ROOFTOP,1,Velachery Road,600042,Chennai,India,Tamil Nadu,,,X6JC+98,"X6JC+98 Chennai, Tamil Nadu, India",7M42X6JC+98
"J6. Thiruvanmiyur Police station,chennai tamil nadu","Ok, partial match","X7M6+Q9X, Sannadi St, Lalitha Nagar, Thiruvanmiyur, Chennai, Tamil Nadu 600041, India",12.9844943,80.2609848,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Sannadi Street,600041,Chennai,India,Tamil Nadu,,,,,
